title,id,stage,creation,activity,components,assignee,status,message_count
"For macOS, package the included Tcl and Tk frameworks in a rational way.",42068,None,2020-10-18.13:20:59,2020-10-19.19:15:51,['10'],5248,1,6.0
Type annotation in for-loops,42067,None,2020-10-18.12:57:26,2020-10-18.14:34:03,['1'],None,1,2.0
CookieJar cookies should not be sorted,42066,4,2020-10-18.08:59:25,2020-10-19.19:38:23,['9'],None,1,2.0
Convert sqlite3 to multi-phase initialisation (PEP 489),42064,None,2020-10-17.19:37:05,2020-10-20.22:59:25,['9'],None,1,6.0
More options to http.server & SimpleHTTPRequestHandler,42063,None,2020-10-17.19:07:16,2020-10-17.19:07:16,['9'],None,1,1.0
Usage of HTTPResponse.url,42062,4,2020-10-17.14:13:56,2020-10-18.01:59:43,['9'],None,1,2.0
Document __format__ method for IPv[46]Address,42061,3,2020-10-17.13:03:51,2020-10-17.13:03:51,['4'],12260,1,1.0
Usage of assert in http/client.py,42060,4,2020-10-17.12:53:09,2020-10-20.02:34:38,['9'],None,1,3.0
"TypedDict(...) as function does not respect ""total"" when setting __required_keys__ and __optional_keys__",42059,4,2020-10-17.09:23:29,2020-10-17.15:09:46,['9'],None,1,3.0
Process not running with args,42058,None,2020-10-17.02:45:23,2020-10-17.04:45:30,['11'],None,1,1.0
email message get_content throws KeyError for content main types font and model,42054,None,2020-10-16.19:24:02,2020-10-16.19:24:02,[],None,1,1.0
fwalk: incorrect boolean test for non-fd arguments,42053,None,2020-10-16.17:31:45,2020-10-16.17:31:45,['9'],None,1,1.0
ensurepip fails if cwd contains illformed setup.cf,42050,None,2020-10-16.08:27:23,2020-10-18.00:31:06,['9'],None,1,1.0
Add image/webp to list of media types in mimetypes.py,42049,4,2020-10-16.05:34:51,2020-10-17.11:34:18,[],None,1,3.0
Document Argument Clinic's defining_class converter,42048,None,2020-10-15.20:12:24,2020-10-15.20:12:24,['31'],None,1,1.0
DragonFlyBSD thread native id support missing,42047,4,2020-10-15.18:33:20,2020-10-15.18:34:17,['5'],None,1,None
Add support to async code to pdb,42045,None,2020-10-15.15:24:26,2020-10-15.15:24:26,['30'],None,1,1.0
Running Python in unbuffered mode may not write all contents to the console,42044,None,2020-10-15.13:22:04,2020-10-15.19:00:29,['23'],None,1,2.0
zipfile.Path should support inheritance,42043,4,2020-10-15.12:03:28,2020-10-15.21:25:53,['9'],None,1,2.0
sphinx3 renders diffrently docs.python.org for 3.10,42042,None,2020-10-15.11:57:21,2020-10-17.15:07:40,['4'],12260,1,5.0
venv subprocess call to python resolves to wrong interpreter,42041,None,2020-10-15.05:50:57,2020-10-20.20:02:27,['15'],12260,1,33.0
"Change IDLE 'more information' splash line, change doc name",42040,3,2020-10-15.05:08:27,2020-10-15.05:08:27,['6'],155,1,1.0
Tracemalloc's format() doc contradictory,42038,None,2020-10-14.17:09:06,2020-10-14.17:10:13,['4'],12260,1,1.0
Documentation confusion in CookieJar functions,42037,None,2020-10-14.15:23:42,2020-10-21.08:30:54,['4'],12260,1,7.0
Unchecked return in Modules/posixmodule.c from multiple function calls,42036,4,2020-10-14.15:21:10,2020-10-14.21:42:35,['9'],None,1,1.0
[C API] PyType_GetSlot cannot get tp_name,42035,None,2020-10-14.13:52:05,2020-10-22.13:22:12,['34'],None,1,4.0
Unchecked return in Objects/typeobject.c and possible uninitialized variables in cls and new_mro,42034,4,2020-10-14.13:47:28,2020-10-14.21:42:21,['9'],None,1,1.0
Seemingly unnecessary complexification of foo(**kw),42033,None,2020-10-14.10:48:31,2020-10-16.04:39:07,[],13034,1,4.0
"Setting PYTHONPYCACHEPREFIX using ~ (tilde) creates a ""~"" folder",42032,None,2020-10-14.08:27:09,2020-10-14.15:09:42,['8'],None,1,4.0
Regression in mimetypes for image/bmp,42028,None,2020-10-13.21:15:02,2020-10-16.21:49:21,['9'],None,1,2.0
/passive run of Windows installer fail silently on Win7,42027,None,2020-10-13.18:36:52,2020-10-13.18:36:52,"['7', '15']",None,1,1.0
index function return first index for same element if repetitive in a list,42026,6,2020-10-13.09:28:18,2020-10-19.07:29:45,['9'],None,1,6.0
Exception ignored in: <function WeakValueDictionary.__init__.<locals>.remove at 0x7f6a325f2ea0>,42024,None,2020-10-13.05:15:39,2020-10-14.16:17:05,[],None,1,6.0
"Argparse: Add a ""display"" arg",42023,None,2020-10-12.21:18:16,2020-10-14.19:40:18,['9'],None,1,10.0
Allow ensurepip to work without bundled wheels,42022,None,2020-10-12.20:43:50,2020-10-12.20:43:50,['9'],None,1,1.0
Override MagicMock special methods,42019,None,2020-10-12.18:26:39,2020-10-15.12:18:04,"['9', '12']",None,1,3.0
winreg SetValue(Ex) should mention integer as an acceptable value,42018,4,2020-10-12.16:21:08,2020-10-12.18:08:05,"['4', '15']",12260,1,1.0
Add ksh to venv examples,42016,None,2020-10-12.15:29:24,2020-10-12.15:29:24,['4'],12260,1,1.0
shutil.rmtree calls onerror with different function than failed,42014,None,2020-10-12.12:54:15,2020-10-14.09:16:03,['9'],None,1,2.0
venv on Windows with symlinks is broken if invoked with -I,42013,None,2020-10-12.10:55:28,2020-10-12.22:39:02,['15'],None,1,12.0
typing support in wsgiref,42012,None,2020-10-12.10:17:09,2020-10-12.10:17:09,['9'],None,1,1.0
Unable to compile with message compiler due to source order,42009,None,2020-10-12.06:25:42,2020-10-12.06:25:42,['3'],None,1,1.0
Internal Random class calling seed() with incorrect argument,42008,4,2020-10-11.21:52:41,2020-10-12.11:43:24,['5'],None,1,2.0
"Stop using PyDict_GetItem, PyDict_GetItemString and _PyDict_GetItemId",42006,4,2020-10-11.14:36:40,2020-10-11.22:26:15,"['5', '8']",None,1,4.0
profile/cProfile CLI should catch BrokenPipeError,42005,4,2020-10-11.05:45:17,2020-10-11.06:18:50,['9'],None,1,2.0
Allow uploading files with SimpleHTTPRequestHandler,42004,None,2020-10-11.00:53:17,2020-10-18.14:36:33,['9'],None,1,5.0
Deprecate `typing.io` Wrapper Namespace,42001,None,2020-10-10.19:02:51,2020-10-11.03:49:17,['9'],None,1,2.0
imaplib Time2Internaldate crashing with time.struct_time supplied from datetime.timetuple(),41999,None,2020-10-10.14:40:53,2020-10-10.14:40:53,['9'],None,1,1.0
five possible Null Pointer Dereference bugs.,41995,4,2020-10-10.11:49:40,2020-10-13.07:09:16,['5'],None,1,3.0
Refcount issues in import,41994,4,2020-10-10.11:14:48,2020-10-10.11:17:14,['8'],None,1,1.0
venv module clashes with pip --user ... improve coordination.,41990,None,2020-10-10.07:24:45,2020-10-12.12:52:23,['9'],None,1,1.0
htmlparser unclosed script tag causes data loss,41989,4,2020-10-10.01:08:29,2020-10-16.20:42:44,['9'],7047,1,2.0
singledispatchmethod raises an error when relying on a forward declaration,41987,3,2020-10-09.20:11:43,2020-10-10.01:52:04,['9'],None,1,4.0
Missing Documentation AF_PACKET,41983,None,2020-10-09.14:59:09,2020-10-18.02:14:03,['4'],12260,1,2.0
Argparse documentation is slightly misleading,41980,None,2020-10-09.12:34:19,2020-10-10.13:07:37,['9'],None,1,4.0
ctypes array inside structure requires explicit garbage collection,41977,None,2020-10-08.17:49:07,2020-10-12.12:55:19,['22'],None,1,1.0
Textwrap to conform to https://www.unicode.org/reports/tr14/tr14-45.html,41975,None,2020-10-08.13:19:58,2020-10-08.13:19:58,['9'],None,1,1.0
Docs: TypedDict is now of type function instead of class,41973,None,2020-10-08.06:26:46,2020-10-15.16:13:57,[],None,1,4.0
bytes.find consistently hangs in a particular scenario,41972,4,2020-10-07.23:31:59,2020-10-19.18:28:25,[],None,1,55.0
"ttk.RadioButtons mis-sized under Windows 10 UI Scaling, with dpiAware set true",41969,None,2020-10-07.17:02:37,2020-10-07.17:02:37,['13'],None,1,1.0
Handle annotations in the parser to avoid the need for roundtrip,41967,None,2020-10-07.12:13:41,2020-10-08.00:19:06,[],None,1,24.0
ConfigParser: stripping of comments should be documented,41963,None,2020-10-07.07:21:09,2020-10-09.11:00:19,[],None,1,4.0
Make threading._register_atexit public?,41962,None,2020-10-07.01:09:44,2020-10-07.01:09:44,[],None,1,1.0
"Windows install failure ""could not set file security""",41961,2,2020-10-06.23:32:04,2020-10-07.16:23:43,['15'],None,1,5.0
Add globalns and localns to the inspect.signature and inspect.Signature.from_callable,41960,4,2020-10-06.20:39:01,2020-10-06.21:05:37,['9'],None,1,1.0
Regression in HTMLParser on malformed tags,41956,None,2020-10-06.09:02:38,2020-10-06.09:02:38,['9'],None,1,1.0
python-3.8.2.exe /uninstall /quiet fails with Exit code: 0x643,41951,None,2020-10-06.02:51:39,2020-10-06.17:04:47,"['7', '15']",None,1,3.0
Typo in Python 3.9 what's new page,41950,4,2020-10-06.02:42:18,2020-10-06.02:45:26,['4'],12260,1,1.0
Redefinition of HMAC functions prevents static linking,41949,None,2020-10-06.00:46:50,2020-10-06.08:59:05,['5'],None,1,5.0
Runtime error while trying to use Python3.9 with virtualenv,41948,None,2020-10-05.20:36:17,2020-10-05.20:36:17,['8'],None,1,1.0
Add concrete examples to os.path documentation,41946,None,2020-10-05.16:06:07,2020-10-05.16:06:07,['4'],12260,1,1.0
http.cookies.SimpleCookie.parse error after [keys],41945,None,2020-10-05.15:19:46,2020-10-05.15:19:46,['9'],None,1,1.0
unittest.assertLogs passes unexpectedly,41943,4,2020-10-05.14:39:59,2020-10-05.15:49:17,['9'],None,1,1.0
concurrent.futures.wait calls len() on an possible iterable,41938,4,2020-10-05.02:02:57,2020-10-05.02:35:35,['9'],None,1,1.0
Wording of s * n in Common Sequence Operations is not optimal,41933,4,2020-10-04.16:20:21,2020-10-05.19:51:19,['4'],12260,1,2.0
Incorrect struct definition with bitfields,41932,None,2020-10-04.15:56:03,2020-10-04.15:56:03,['22'],None,1,1.0
Wrap sqlite3_serialize API in sqlite3 module,41930,None,2020-10-04.12:05:11,2020-10-04.12:05:11,['9'],None,1,1.0
Detect OEM code page for zip archives in ZipFile based on system locale,41929,None,2020-10-04.11:36:22,2020-10-04.15:42:42,['9'],None,1,2.0
ZipFile does not supports Unicode Path Extra Field (0x7075) zip header field,41928,None,2020-10-04.11:21:41,2020-10-04.15:24:54,['9'],None,1,2.0
Unpredictable behavior when parsing xml. (xml.etree.ElementTree.iterparse),41926,None,2020-10-04.11:03:56,2020-10-04.11:07:41,['16'],None,1,2.0
REDoS in parseentities,41921,None,2020-10-03.15:12:49,2020-10-05.09:47:51,['2'],None,1,2.0
exec fails to take locals into account when running list comprehensions or functions,41918,None,2020-10-03.09:06:43,2020-10-14.13:33:59,[],None,1,2.0
cxx pthread check is not overrideable,41916,4,2020-10-03.07:20:28,2020-10-03.16:54:27,['28'],None,1,1.0
"unittest.mock.create_autospec(Obj, instance=True) has self keyword in _spec_signature if Obj implements __call__",41915,None,2020-10-03.01:23:47,2020-10-03.01:23:47,['9'],None,1,1.0
test_pdb fails,41914,None,2020-10-02.20:39:35,2020-10-02.20:43:28,['12'],None,1,1.0
EnvBuilder.install_scripts should use explicit permissions,41913,None,2020-10-02.18:57:46,2020-10-03.01:10:11,[],None,1,2.0
Language reference for expressions incorrectly specifies what type of object(s) are expected,41911,None,2020-10-02.15:27:33,2020-10-21.21:56:13,['4'],12260,1,3.0
Make IDLE Start Menu entry more descriptive,41908,3,2020-10-02.09:56:26,2020-10-03.00:34:52,"['6', '7', '15']",155,1,3.0
Regression in IntFlag behaviour in f-string,41907,4,2020-10-02.02:38:10,2020-10-02.17:31:10,['9'],12590,1,3.0
logging.config.dictConfig does not work with callable filters,41906,None,2020-10-02.00:43:26,2020-10-21.14:41:57,[],None,1,5.0
PyNumber_InPlacePower ignores o3 if o1 implements __ipow__,41903,None,2020-10-01.15:10:02,2020-10-01.15:48:52,['34'],None,1,5.0
Moving index with wordstart expression includes non-alphanumberic and underline characters if word is tagged and iat the edge of a text widget,41896,None,2020-09-30.18:28:10,2020-10-01.13:26:40,['13'],None,1,3.0
PyMethodDef does NOT have any fields contain context in embedded C,41895,None,2020-09-30.17:38:05,2020-09-30.20:01:45,['34'],None,1,2.0
asyncio.wait_for does not wait for task/future to be completed in all cases,41891,4,2020-09-30.11:01:52,2020-09-30.11:04:51,['30'],None,1,1.0
enum: Mixin and int base class regression in 3.8.6,41889,4,2020-09-30.04:21:36,2020-10-01.23:35:19,['9'],12590,1,2.0
PyType_Type is documented incorrectly,41886,4,2020-09-29.20:58:02,2020-09-29.21:06:24,['4'],12260,1,1.0
"tempfile.py TemporaryDirectory/mkdtemp defaults to mode 0o700, propose to add mode argument",41884,None,2020-09-29.12:56:02,2020-09-29.13:20:53,['9'],None,1,2.0
"ctypes pointee goes out of scope, then pointer in struct dangles and crashes",41883,None,2020-09-29.03:40:06,2020-09-30.16:39:00,['22'],None,1,5.0
CCompiler.has_function does not delete temporary files,41882,4,2020-09-28.23:04:08,2020-09-28.23:09:19,['3'],None,1,1.0
Get Python include directories from sysconfigdata,41880,4,2020-09-28.20:15:56,2020-09-28.20:25:48,"['3', '28']",None,1,1.0
Outdated description of async iterables in documentation of async for statement,41879,None,2020-09-28.20:15:35,2020-09-29.03:00:11,"['4', '30']",12260,1,1.0
python3 fails to use custom mapping object as symbols in eval(),41878,None,2020-09-28.19:12:20,2020-10-02.23:47:13,[],None,1,5.0
Check against misspellings of assert etc. in mock,41877,None,2020-09-28.18:19:17,2020-10-13.17:10:31,['9'],None,1,9.0
Multiprocessing Manager Object Cleanup,41869,None,2020-09-27.01:06:34,2020-09-27.01:06:34,['9'],None,1,1.0
"SMTPLIB integrate or provide option to use ""logging""",41868,None,2020-09-26.18:51:05,2020-09-26.18:51:05,['29'],None,1,1.0
Document error in chinese version of contextlib.,41866,None,2020-09-26.16:23:58,2020-10-02.23:15:27,['4'],12260,1,3.0
Compiler error in _zoneinfo.c:1227: error: #pragma GCC diagnostic not allowed inside functions,41864,None,2020-09-26.10:04:51,2020-09-26.16:00:28,['1'],None,1,2.0
Convert sqlite3 to PEP 384,41861,4,2020-09-25.12:18:11,2020-10-01.14:03:42,['9'],None,1,5.0
Uncaught ValueError,41859,None,2020-09-25.04:12:05,2020-10-21.01:20:38,['6'],155,1,6.0
Document timeout arguments to poll() in select module,41857,4,2020-09-25.02:00:00,2020-09-25.02:09:38,['4'],12260,1,1.0
argparse: auto-generated synopsis omits REMAINDER argument,41856,None,2020-09-24.23:40:02,2020-09-24.23:42:31,['9'],None,1,2.0
FastPath.zip_children can give duplicate results on Python 3.8,41855,4,2020-09-24.20:30:47,2020-10-15.21:05:20,['9'],1290,1,3.0
argparse.add_mutually_exclusive_group fails for optional positional arguments,41854,None,2020-09-24.20:23:50,2020-10-17.07:41:14,['9'],None,1,3.0
Windows docs for command line install don't mention /log option,41853,None,2020-09-24.16:45:07,2020-09-24.18:10:19,"['4', '15']",12260,1,2.0
Inconsistent errors for JSON-encoding NaNs with allow_nan=False,41852,None,2020-09-24.16:44:20,2020-09-24.17:05:07,"['5', '9']",None,1,1.0
tkinter: add font equal methods,41851,4,2020-09-24.11:27:19,2020-09-28.20:31:39,"['4', '13']",12260,1,7.0
inspect.py: access block stack,41850,None,2020-09-24.08:23:10,2020-09-25.02:48:48,[],None,1,2.0
Support reading long lines with io._WindowsConsoleIO,41849,3,2020-09-24.00:33:09,2020-09-24.22:27:40,"['14', '15', '23']",None,1,3.0
"Update ""install launcher for all users"" installer option",41847,3,2020-09-23.22:45:27,2020-09-23.22:46:36,['15'],None,1,2.0
IDLE subsection of What's New 3.10,41846,None,2020-09-23.14:32:22,2020-09-23.14:32:22,['6'],155,1,1.0
IDLE subsection of What's New 3.9,41844,4,2020-09-23.14:23:59,2020-10-05.16:10:19,['6'],155,1,4.0
Reenable sendfile in shutil.copyfile() on Solaris,41843,None,2020-09-23.13:24:12,2020-09-23.13:24:12,['9'],None,1,1.0
idlelib/NEWS.txt for 3.10.0 and backports,41841,4,2020-09-23.12:31:32,2020-09-23.14:35:05,['6'],155,1,4.0
Fix error checking in sched_get_priority_ functions,41839,4,2020-09-23.09:44:51,2020-09-23.10:04:20,['9'],None,1,1.0
Upgrade installers to OpenSSL 1.1.1h,41837,None,2020-09-23.00:59:08,2020-09-23.00:59:08,"['1', '10', '15']",None,1,1.0
Speed up dict vectorcall creation using keywords,41835,None,2020-09-22.12:56:44,2020-10-22.12:19:20,['8'],None,1,4.0
PyType_FromSpec() should accept tp_doc=NULL,41832,None,2020-09-22.10:29:31,2020-09-23.13:06:25,['8'],None,1,1.0
"""NameError: name 'AttributeError' is not defined""",41830,None,2020-09-22.07:52:06,2020-09-22.08:27:32,[],None,1,2.0
sqlite3.Row always read as tuple when supplied to executemany,41829,None,2020-09-22.00:43:13,2020-09-22.00:52:26,['5'],None,1,1.0
os.waitid() documentation needs TLC,41825,4,2020-09-21.16:41:50,2020-09-22.10:35:31,['4'],12260,1,1.0
Docs for typing.ForwardRef don't state that it was added in 3.7,41824,None,2020-09-21.16:35:27,2020-09-21.17:06:29,['4'],12260,1,1.0
Add more fields to sys.float_info,41823,None,2020-09-21.01:01:54,2020-09-23.01:40:17,['5'],None,1,5.0
Document the meaning  of values for sys.float_info.rounds,41822,None,2020-09-21.00:38:26,2020-10-18.09:13:18,['4'],12260,1,5.0
Lib/pty.py major revision,41818,None,2020-09-19.23:19:34,2020-09-20.02:51:38,"['9', '10', '12', '15', '32']",None,1,3.0
Mismatch between the manipulation of `sys.path` by `runpy` and by the Python command-line interface,41814,None,2020-09-19.15:43:58,2020-09-19.15:43:58,['9'],None,1,1.0
Clarify specification of object.__await__,41813,4,2020-09-19.13:57:34,2020-09-25.23:06:30,"['4', '30']",12260,1,2.0
socket methods with timeout take very slow path on Windows,41806,3,2020-09-17.20:25:37,2020-09-17.20:25:37,"['9', '15']",None,1,1.0
types.GenericAlias and types.Union have no documentation,41805,4,2020-09-17.19:28:27,2020-10-09.17:52:21,['4'],12260,1,4.0
test_epoll fails test_control_and_wait() randomly on aarch64 RHEL8 Refleaks 3.9,41804,None,2020-09-17.16:42:20,2020-10-01.12:34:14,['12'],None,1,4.0
23 tests failed for 3.9.0b2-64 installed on Windows 10,41801,None,2020-09-17.10:48:28,2020-09-17.10:48:28,"['7', '15']",None,1,1.0
Python installation fails when run under system account if there is already an existing installation on the system already,41800,None,2020-09-17.07:49:13,2020-09-21.16:28:40,['7'],None,1,6.0
[C API] Revisit usage of the PyCapsule C API with multi-phase initialization API,41798,None,2020-09-16.14:07:49,2020-10-20.08:47:58,['34'],None,1,3.0
PyModule_GetState doesn't work with LazyLoader,41797,None,2020-09-16.13:23:38,2020-09-25.13:08:51,['34'],None,1,2.0
_ast module state should be made per interpreter,41796,None,2020-09-16.10:10:24,2020-09-16.14:26:30,['8'],None,1,3.0
Memory leak in asyncio server,41794,None,2020-09-16.05:28:08,2020-09-17.16:52:12,['30'],None,1,3.0
Inaccuracy about reflected operands in datamodel docs.,41793,4,2020-09-15.15:59:08,2020-09-15.16:02:51,['4'],12260,1,1.0
mimetypes module does not recognize jp2 type,41791,None,2020-09-15.04:31:47,2020-09-18.12:27:11,[],None,1,4.0
C-API documentation ignores heap types and says type objects must never be deallocated,41790,None,2020-09-15.03:15:13,2020-09-15.16:51:11,['4'],12260,1,1.0
adding PEP references to documentation,41787,4,2020-09-14.22:49:01,2020-09-16.03:26:47,['4'],12260,1,3.0
Typos in typing.py,41781,None,2020-09-14.12:00:22,2020-09-14.12:00:22,['9'],None,1,1.0
add BLOB photo to sqlite3 python,41779,None,2020-09-14.06:10:16,2020-09-14.06:53:18,[],None,1,2.0
"When using `python -bb`, `struct.calcsize` raises a warning when used with str argument after being used with bytes (might be a larger problem with dicts)",41777,None,2020-09-13.13:23:48,2020-09-13.14:24:57,"['8', '9']",None,1,4.0
Zipfile.testzip considers wrong password as correct,41772,None,2020-09-12.06:38:10,2020-09-12.22:40:34,['9'],None,1,2.0
bdist_wininst doesn't execute postinstall script,41771,4,2020-09-12.04:16:45,2020-09-12.04:26:53,[],10,1,1.0
Positional arguments with boolean actions behave differently,41769,2,2020-09-12.02:38:08,2020-09-21.14:45:29,['9'],None,1,4.0
unittest.mock spec calls class properties,41768,4,2020-09-12.01:10:24,2020-10-20.13:50:48,['9'],None,1,2.0
multiprocessing.Queue prevents program exit when containing a reasonable amount of data,41761,None,2020-09-11.10:37:24,2020-09-17.06:23:09,['9'],None,1,1.0
Do not always use exceptions to return result from coroutine,41756,4,2020-09-11.01:10:36,2020-10-13.17:27:00,[],None,1,46.0
Docs: Please remove `from distutils.core import setup`,41755,None,2020-09-10.20:29:13,2020-09-19.18:59:37,['3'],None,1,2.0
Webbrowser Module Cannot Find xdg-settings on OSX,41754,3,2020-09-10.06:15:31,2020-10-19.20:45:30,"['9', '10']",None,1,3.0
Wave shouldn't try to close an open file at all costs,41752,None,2020-09-09.13:00:36,2020-09-09.13:00:36,['9'],None,1,1.0
Error copying an instance of a subclass of OrderedDict,41751,None,2020-09-09.10:09:46,2020-09-09.17:41:08,['9'],None,1,10.0
HTMLParser: parsing error,41748,2,2020-09-08.21:59:30,2020-09-09.15:20:27,['9'],None,1,6.0
BoundArguments.arguments used in the recommended way to call a callable silently succeeds for nonexistent arguments,41745,3,2020-09-08.15:40:46,2020-09-13.05:07:36,['4'],12260,1,7.0
Request for docs.python.org/3/library/configparser.html#exceptions improvement,41742,None,2020-09-08.08:45:15,2020-09-11.23:37:37,['4'],12260,1,2.0
test_peg_generator timed out (25 min) on x86 Gentoo Non-Debug with X 3.9,41741,None,2020-09-07.21:50:53,2020-09-08.09:19:11,['12'],None,1,3.0
Improve error message for string concatenation via `sum`,41740,None,2020-09-07.19:21:29,2020-09-08.03:50:18,['8'],None,1,8.0
Improper NotADirectoryError when opening a file in a fake directory,41737,4,2020-09-07.15:36:37,2020-10-20.18:18:14,['23'],None,1,10.0
test_site: test_s_option() failed on AMD64 Windows8.1 Refleaks 3.7,41736,None,2020-09-07.14:13:38,2020-10-21.03:47:27,['12'],None,1,2.0
Thread locks in zlib module may go wrong in rare case,41735,4,2020-09-07.03:14:46,2020-09-07.13:53:26,['9'],None,1,1.0
"Refactor b32{encode,decode} tests",41734,4,2020-09-06.19:15:07,2020-09-08.21:16:43,['12'],None,1,4.0
Show deprecation warnings for tkinter.tix,41730,4,2020-09-06.03:54:50,2020-09-13.06:04:55,['13'],None,1,10.0
Debug logging when adding a TarFile object,41728,4,2020-09-05.23:48:02,2020-09-06.02:23:09,['9'],None,1,1.0
Confusing presentation for configuration settings references,41727,None,2020-09-05.18:32:28,2020-09-05.18:32:28,['4'],12260,1,1.0
bz2 would use a dedicated exception for data error,41725,None,2020-09-05.10:26:14,2020-09-12.03:19:17,['5'],None,1,3.0
"SQLite returns ""str"" instead of ""datetime.datetime"" with aggregate queries.",41724,None,2020-09-05.06:23:53,2020-09-05.22:39:11,['34'],None,1,4.0
